id|job_title|location|salary_currency|career_level|experience_level|education_level|employment_type|job_function|job_benefits|company_process_time|company_size|company_industry|job_description
31747|Sous Chef|Lombok|IDR|Pegawai (non-manajemen & non-supervisor)|8 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)|Penuh Waktu|Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran||||Makanan & Minuman/Katering/Restoran|Candidate must posses at least bachelor degree or culinary school completion (Experience in hospitality management or equivalent is a huge plus8 years culinary experience as a chef (Working in food/beverage/restaurant service or equivalent)Strong knowledge of cooking methods, kitchen equipment, and best practicesGood understanding of MS Office and restaurant software programsTeamwork-oriented with outstanding leadership abilities and can work under pressureExcellent english language skills (fluency in other internatinal language is a huge plus)Excellent communication and interpersonal skillsWilling to work in Lombok (3 months probation)
31748|Bancassurance Officer (Area: Bali, Sulawesi Utara, Sulawesi Selatan, Sulawesi Tengah, Sulawesi Tenggara)|Palu|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan - Jasa Keuangan|Asuransi kesehatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)|14 days|201 - 500 pekerja|Asuransi|Bancassurance Officer adalah Representative dari Panin Dai-chi Life di cabang Bank Panin yang berperan untuk membantu melakukan pemasaran produk Bancassurance.Deskripsi pekerjaan:Melakukan aktivitas penjualan didalam industri BancassuranceMembina dan membangun hubungan professional dengan staff bank dan nasabah bankMelakukan kegiatan after selling (Follow up ke nasabah, reporting, submit case, kelengkapan data nasabah, medical, Etc)Persyaratan:Usia maksimal 35 tahunMemiliki minimum 1 tahun pengalaman sebagai salesLulusan D3/S1 dari semua jurusanKomunikatifBerpenampilan rapiBenefit:Tunjangan TetapTunjangan LainKomisiBonus BulananTunjangan TahunanTunjangan KesehatanTrip gratisPelatihan dan Training
31749|Marketing Staff|Jakarta Utara|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis||||Manufaktur/Produksi|Bertanggung jawab atas penjualan sesuai dengan target yang telah ditentukanMembuat laporan penjualan yang terhubung dalam sistem perusahaanMelakukan pembuatan dan penyimpanan dokumen yang berhubungan dengan penjualanMemfollow up dan menjaga hubungan dengan customerMelakukan analisa yang dapat membantu meningkatkan penjualanMempersiapkan laporan penjualan mingguan dan Bulanan
31750|Section Head Commercials|Jakarta Raya|IDR|Manajer/Asisten Manajer|3 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan Ritel|Uniform||501 - 1000 pekerja|Retail/Merchandise|Tanggung Jawab :Bertanggung jawab atas keseluruhan operasional di Department nya (Food; Non Food; Perishable; Fruit & Vegetables; Meat; Fish; Sushi)Memastikan aspek kualitas produk di Department nya untuk selalu dalam kondisi terbaik sesuai standar PerusahaanMemastikan aspek pricing (harga) agar tetap kompetitif dibandingkan dengan kompetitorMemastikan aspek human (tenaga kerja) agar memiliki pengetahuan dan skill yang tepat guna dan mampu bekerja dengan harmonisRequirements :Pengalaman minimal 3 tahun sebagai Sales Manager / Section Head di Department : Food / Non Food / Perishable / Fruit & Vegetables / Meat / Fish / SushiMampu berkomunikasi dengan baik kepada seluruh level karyawanSiap ditempatkan di seluruh wilayah operasional Perusahaan
31751|Social Media HEAD|Aceh|IDR|Supervisor/Koordinator|3 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Digital Marketing|||1- 50 pekerja|Makanan & Minuman/Katering/Restoran|# Memiliki pengalaman di atas# Harus memiliki skills dan pengalaman di job title di atas# Penempatan di kota Medan# Interview di lakukan secara Online dan Offline# Harus melewati tahapan seleksi sesuai sop perusahaan# Harus bisa menggunakan dan mahir di photoshop/ilustrator# Memiliki pengalaman sebagai Team work# Memiliki skill di Videographer/premiere pro
31752|Sales Manager|Jakarta Barat|IDR|Manajer/Asisten Manajer|5 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Pelayanan,Logistik/Rantai Pasokan|Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)||1- 50 pekerja|Lainnya|a. Responsible for achieving all customer accounts by creating annual business planb. Observing, supervising and monitoring all subordinates daily activities in order to work effective and efficientc. Monitoring and analyzing Key Performance Index and Marketing Team objective dailyd.Conducting product presentation to potential customere. Negotiating special condition to potential customerf. Analyzing a new market opportunitiesg. Visiting to customer periodicallyh. Meeting & evaluating with Marketing Team and Head of Group Business to report a progressand resulti. Meeting & evaluating periodical activitiesj. Ensuring training career program for subordinatek. Making additional training program for subordinatel. Mentoring and coaching all the subordinates directly.M. Working together with other Head Divisions to share problem & solution.
31753|PURCHASING IMPORT|Surabaya|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)|Penuh Waktu|Manufaktur,Pembelian/Manajemen Material|||||Urgently Need : PURCHASINGWe Want you to be a person Who :Bachelor Degree in Mechanical Engineering, Business Management or equivalent from reputable universityPreferred have 2-3 years experience in the same fieldUnderstand about export - import document, processes, policy, and systems.Understanding regulations about Steel Import Licenses Regulations KEMENKEU / KEMENDAG / KEMENPERINFluent in english is a must, able to speak mandarin is an advantage.Strong analytical skills, attention to detail, interpersonal and negotiation skillsAgile, strong work ethic and willing to do what it takes to get the job done rightAble to work independently or teams, initiatives and to work with all types of individualsWhat you Will be dong day to day :Review and negotiate supplier terms, pricing and deliverablesMaking PO, signing conract, opening LCFamiliar with payment terms (Especially LC) and all document export-import clearencePrepare and checking all document for clearance goods in Indonesia port/airportCommunicate shipment requirements and deadlines to all parties involvedTracking suppliers delivery schedules.Evaluate supplier performance based on company's standard.We can Offer :Excellent remuneration package based on experienceGreat career prospects as the growth opportunity in the company is tremendousOpportunity to work with a wonderful culture and reputation
31754|Backend Developer|Bali|IDR|Pegawai (non-manajemen & non-supervisor)|5 tahun|Tidak terspesifikasi|Penuh Waktu|Komputer/Teknologi Informasi,IT-Perangkat Lunak|Tunjangan Pendidikan;Tip;Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Parkir;Penglihatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)|6 days|1- 50 pekerja|Komputer/Teknik Informatika (Perangkat Lunak)|Hello tech Indonesia,We hiring a new backend developer to our team. If the questions below resonates with you, maybe you are the one we're looking for.Passionate about tech?Interested to learn new things?Like to challenge yourself daily?Want to develop international high standard apps?Want to work with International brands?Can take responsibility?Want to work remotely?Want a high salary?We are working with international clients building web and mobile apps. Right now we are a small team of 3 people and for us it’s important to make quality products and grow organically. We believe in being passionate about your work. With that comes quality and enjoyment.To get this job you need high skills in:Problem solvingFast learnerSimplify complexitiesEnglishSoftware engineeringWeb developmentMobile developmentServerless cloud services; Azure, GCP, AWSPythonC#GitConfluence / JiraScrumWe are looking forward to talk to you!Kind regardsRikard ÄngermarkDua Digital Solutions
31755|DOCUMENT CONTROL - MANDARIN SPEAKING|Bekasi|IDR|Supervisor/Koordinator|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Sumber Daya Manusia/Personalia,Sekretaris|Waktu regular, Senin - Jumat;THR, BPJS, Bonus, Tax Allowance, Benefit in Kind, Meals, Accommodation|14 days|1- 50 pekerja|Transportasi/Logistik|Job Description：Controlling company and project documentationFollowing document control proceduresEnsuring all documentation meets formal requirementsDesigning templates for documents, file types, and document databasesKeep other personnel updated on new document versions and how to obtain accessSorting, storing and retrieving electronic and hard copy documentsCollect and register all technical documents such as drawings and blueprints in the company’s systemHandle records across various departmentsProducing document progress reports for senior managersConducting regular reviews and document auditsEstablish and maintain record retention timelinesOrganize and distribute documents within a companyHelping in the planning stages of a specific projectEnsure documents are shared at key times to facilitate timely project completionMaintain confidentiality regarding sensitive documentsJob RequirementsBachelor in Computer Science, Business Administration, Secretary or other relevant discipline, or equivalent work experienceProficient in Mandarin min HSK 4 or equivalentProficient in English preferredExperience working with many types of filesAbility to analyze data and organize documentsMicrosoft office suite skillsEffective communication across departmentsGreat time management skillsDetail orientedAbility to multitaskFresh graduates are welcome
31756|Java Spring Boot / MVC|Jakarta Pusat|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Tidak terspesifikasi|Penuh Waktu|Komputer/Teknologi Informasi,IT-Perangkat Lunak|Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)|1 day|1- 50 pekerja|Komputer/Teknik Informatika (Perangkat Lunak)|Experience 1 Year In Java (Spring Boot / Spring MVC preferred)Experience with JPAExperience with frontend language like css and html will be advantagesExperience in Spring MVC will be advantagesHaving Knowledge relate Source code version Control (GIT)Understanding with WebServices (REST)Understanding Spring FrameworkDatabase MySQLEduS1 (Preferred)ExperienceJava Spring Boot / Spring MVC : 1 year (Preferred)Work RemotelyNo
